observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
--------------  ----------  ----------  -----------  ------------  ------------  --------  ----------------  -----------  ----------  ------------  ------------  ---------  ----------  -------  -------  ------  -------  ------------  -------  -------  --------  -------  -------  ------
       1366865  lsst-dp0.2   199497060          X05  59849.200562  59849.200909    30.000                16        65803        true  59849.200562    -24.589475  51.554476  -33.283106   1.0454   0.0754  53.575  122.955       332.635  117.580   47.867     0.005    0.003   33.206  14.556
       1428320  lsst-dp0.2   199533107          X05  59849.216988  59849.217335    30.000                16        65803        true  59849.216988    -24.573049  51.601295  -33.273294   1.0454   0.0754  53.600  122.930       332.653  117.552   47.845     0.005    0.003   33.219  14.556
       1828311  lsst-dp0.2   200737028          X05  59851.210555  59851.210902    30.000                16        65803        true  59851.210555    -22.579482  57.582832  -31.767955   1.0405   0.0734  56.586  119.908       334.790  114.228   45.225     0.005    0.003   34.878  14.574
       1844559  lsst-dp0.2   200736061          X05  59851.210108  59851.210455    30.000                16        65803        true  59851.210108    -22.579929  57.581552  -31.768311   1.0405   0.0734  56.585  119.909       334.789  114.229   45.225     0.005    0.003   34.878  14.574
         29268  lsst-dp0.2   194918097          X05  59841.328881  59841.329228    30.000                18    2022 SC19        true  59841.328881    -73.787332  64.578084  -42.593056   1.4050   0.7319  43.148  106.967       292.845  103.989   18.547     0.224    0.157  -20.501  20.580
        337972  lsst-dp0.2   204713111          X05  59857.350566  59857.350913    30.000                18    2022 SC19        true  59857.350566    -57.765647  58.812001  -42.210496   1.2977   0.4969  43.804  116.075       304.230  124.469   26.553     0.182    0.151  -24.382  19.584
        373754  lsst-dp0.2   183059140          X05  59822.386043  59822.386390    30.000                18    2022 SC19        true  59822.386043    -92.730170  63.527747  -41.993429   1.5430   1.0031  40.097  100.108       281.530   87.357   12.479     0.260    0.161  -19.564  21.383
        373944  lsst-dp0.2   184840141          X05  59824.355085  59824.355432    30.000                18    2022 SC19        true  59824.355085    -90.761128  63.867683  -42.052501   1.5283   0.9755  40.444  100.712       282.610   88.874   12.949     0.257    0.161  -19.559  21.311
       1061862  lsst-dp0.2   185773157          X05  59825.345286  59825.345633    30.000                18    2022 SC19        true  59825.345286    -89.770927  64.022138  -42.083458   1.5210   0.9616  40.618  101.024       283.161   89.651   13.199     0.255    0.161  -19.564  21.274
       1072785  lsst-dp0.2   193007184          X05  59839.267583  59839.267930    30.000                18    2022 SC19        true  59839.267583    -75.848630  64.759221  -42.538006   1.4196   0.7619  42.872  106.079       291.508  101.904   17.708     0.229    0.158  -20.264  20.682
       1072801  lsst-dp0.2   193806011          X05  59840.224468  59840.224815    30.000                18    2022 SC19        true  59840.224468    -74.891745  64.688264  -42.564085   1.4128   0.7480  43.003  106.485       292.125  102.861   18.092     0.227    0.158  -20.368  20.635
       1095722  lsst-dp0.2   193091071          X05  59839.307840  59839.308187    30.000                18    2022 SC19        true  59839.307840    -75.808373  64.755642  -42.539416   1.4193   0.7614  42.877  106.096       291.534  101.944   17.725     0.229    0.158  -20.268  20.680
